:START_ID,:END_ID,:TYPE
BỘ GIÁO DỤC VÀ ĐÀO TẠO,119/BGDĐT-GDTH,BAN_HANH
119/BGDĐT-GDTH,Phạm Ngọc Thưởng,KY_BOI
119/BGDĐT-GDTH,04/CT-TTg,TRICH_DAN
119/BGDĐT-GDTH,131/QĐ-TTg,TRICH_DAN
119/BGDĐT-GDTH,06/QĐ-TTg,TRICH_DAN
119/BGDĐT-GDTH,13/2023/NĐ-CP,TRICH_DAN
119/BGDĐT-GDTH,130/2018/NĐ-CP,TRICH_DAN
119/BGDĐT-GDTH,119/BGDĐT-GDTH-Muc_1,CO_MUC
119/BGDĐT-GDTH,119/BGDĐT-GDTH-Muc_2,CO_MUC
119/BGDĐT-GDTH,119/BGDĐT-GDTH-Muc_3,CO_MUC
119/BGDĐT-GDTH,119/BGDĐT-GDTH-Muc_4,CO_MUC
119/BGDĐT-GDTH-Muc_4,119/BGDĐT-GDTH-Muc_4-NV_a,GIAO_NHIEM_VU
Sở Giáo dục và Đào tạo,119/BGDĐT-GDTH-Muc_4-NV_a,CO_TRACH_NHIEM
119/BGDĐT-GDTH-Muc_4,119/BGDĐT-GDTH-Muc_4-NV_b,GIAO_NHIEM_VU
Phòng Giáo dục và Đào tạo,119/BGDĐT-GDTH-Muc_4-NV_b,CO_TRACH_NHIEM
119/BGDĐT-GDTH-Muc_4,119/BGDĐT-GDTH-Muc_4-NV_c,GIAO_NHIEM_VU
cơ sở giáo dục,119/BGDĐT-GDTH-Muc_4-NV_c,CO_TRACH_NHIEM
119/BGDĐT-GDTH,119/BGDĐT-GDTH-Phụ_lục_1,KEM_THEO
119/BGDĐT-GDTH,119/BGDĐT-GDTH-Phụ_lục_2,KEM_THEO
