coquanId:ID,ten,:LABEL
Sở Giáo dục và Đào tạo,Sở Giáo dục và Đào tạo,CoQuanToChuc
Phòng Giáo dục và Đào tạo các quận/huyện/thành phố,Phòng Giáo dục và Đào tạo các quận/huyện/thành phố,CoQuanToChuc
Các cơ sở giáo dục,Các cơ sở giáo dục,CoQuanToChuc
Văn phòng Sở,Văn phòng Sở,CoQuanToChuc
Phòng GDĐT các quận/huyện/thành phố,Phòng GDĐT các quận/huyện/thành phố,CoQuanToChuc
Công an Thành  phố,Công an Thành  phố,CoQuanToChuc
cơ sở giáo dục.,cơ sở giáo dục.,CoQuanToChuc
Văn phòng Sở.,Văn phòng Sở.,CoQuanToChuc
các phòng chuyên môn thuộc Sở,các phòng chuyên môn thuộc Sở,CoQuanToChuc
các doanh nghiệp.,các doanh nghiệp.,CoQuanToChuc
"Phòng GDĐT các quận/huyện/thành phố, cơ sở giáo dục. Đơn vị phối hợp: Cục Chứng thư - Ban cơ yếu Chính phủ, Văn phòng Sở.","Phòng GDĐT các quận/huyện/thành phố, cơ sở giáo dục. Đơn vị phối hợp: Cục Chứng thư - Ban cơ yếu Chính phủ, Văn phòng Sở.",CoQuanToChuc
Cục Chứng thư - Ban cơ yếu Chính phủ,Cục Chứng thư - Ban cơ yếu Chính phủ,CoQuanToChuc
"Văn phòng Sở, Phòng Giáo dục Tiểu học.","Văn phòng Sở, Phòng Giáo dục Tiểu học.",CoQuanToChuc
cơ sở giáo dục,cơ sở giáo dục,CoQuanToChuc
các  doanh nghiệp.,các  doanh nghiệp.,CoQuanToChuc
"Văn phòng Sở, các phòng chuyên môn thuộc","Văn phòng Sở, các phòng chuyên môn thuộc",CoQuanToChuc
các doanh nghiệp công nghệ thông tin,các doanh nghiệp công nghệ thông tin,CoQuanToChuc
