vanbanId:ID,loaiVanBan,trichYeu,ngayBanHanh,noiBanHanh,:LABEL
2106/KH-SGDĐT,Kế hoạch,"Triển khai Hệ thống theo dõi, đánh giá học sinh và Học bạ số trên địa bàn Thành phố Hồ Chí Minh từ năm học 2024 - 2025","Chưa rõ, năm 2025",Thành phố Hồ Chí Minh,VanBan
Luật Giao dịch điện tử 2023,Luật,Luật Giao dịch điện tử năm 2023,VanBan
130/2018/NĐ-CP,Nghị,Nghị định số 130/2018/NĐ-CP ngày 27 tháng 9 năm 2018 của  Chính phủ quy định chi tiết thi hành Luật Giao dịch điện tử về chữ ký số và dịch vụ chứng thực chữ ký số,VanBan
04/CT-TTg,Chỉ,"Chỉ thị số 04/CT-TTg ngày 11 tháng 02 năm 2024 của Thủ tướng  Chính phủ về tiếp tục đẩy mạnh triển khai Đề án phát triển ứng dụng dữ liệu về  dân cư, định danh và xác thực điện tử phục vụ chuyển đổi số quốc gia giai đoạn  2022 - 2025, tầm nhìn đến năm 2030 tại các bộ, ngành, địa phương năm 2024 và  những năm tiếp theo",VanBan
26/2019/TT-BGDĐT,Thông,"Thông tư số 26/2019/TT-BGDĐT ngày 30 tháng 12 năm 2019 của  Bộ Giáo dục và Đào tạo ban hành quy định về quản lý, vận hành và sử dụng Hệ thống CSDL ngành về giáo dục mầm non, giáo dục phổ thông và giáo dục thường xuyên",VanBan
28/2020/TT-BGDĐT,Thông,Thông tư số 28/2020/TT-BGDĐT ngày 04 tháng 9 năm 2020 của  Bộ Giáo dục và Đào tạo ban hành Điều lệ trường tiểu học,VanBan
32/2020/TT-BGDĐT,Thông,"Thông tư số 32/2020/TT-BGDĐT ngày 15 tháng 9 năm 2020 của  Bộ Giáo dục và Đào tạo ban hành Điều lệ trường trung học cơ sở, trường trung  học phổ thông và trường phổ thông có nhiều cấp học",VanBan
10/2021/TT-BGDĐT,Thông,Thông tư số 10/2021/TT-BGDĐT ngày 05 tháng 4 năm 2021 của  Bộ Giáo dục và Đào tạo ban hành Quy chế tổ chức và hoạt động của trung tâm  giáo dục thường xuyên,VanBan
05/2023/TT-BGDĐT,Thông,Thông tư số 05/2023/TT-BGDĐT ngày 28 tháng 2 năm 2023 của  Bộ Giáo dục và Đào tạo ban hành Quy chế tổ chức và hoạt động của trường trung học phổ thông chuyên,VanBan
3666/QĐ-BGDĐT,Quyết,"Quyết định số 3666/QĐ-BGDĐT ngày 08 tháng 11 năm 2023 của  Bộ Giáo dục và Đào tạo ban hành quy chế công tác văn thư, lưu trữ",VanBan
1458/BGDĐT-GDPT,Công,Công văn số 1458/BGDĐT-GDPT ngày 02 tháng 4 năm 2025 của  Bộ Giáo dục và Đào tạo về tăng cường chỉ đạo thực hiện chuyển đổi số trong giáo  dục và triển khai Học bạ số,VanBan
3760/QĐ-UBND,Quyết,"Quyết định số 3760/QĐ-UBND ngày 04 tháng 11 năm 2021 của  Ủy ban nhân dân Thành phố ban hành Quy chế quản lý, sử dụng Hệ thống quản lý  tài liệu điện tử tại Thành phố Hồ Chí Minh",VanBan
328/QĐ-UBND,Quyết,"Quyết định số 328/QĐ-UBND ngày 06 tháng 02 năm 2023 của  Ủy ban nhân dân Thành phố về phê duyệt Chiến lược quản trị dữ liệu của Thành phố  Hồ Chí Minh đến năm 2025, định hướng đến năm 2030",VanBan
1230/QĐ-SGDĐT,Quyết,"Quyết định số 1230/QĐ-SGDĐT ngày 19 tháng 4 năm 2024 của  Sở Giáo dục và Đào tạo về quy chế thu thập, quản lý, đồng bộ, chia sẻ dữ liệu  ngành Giáo dục và Đào tạo Thành phố Hồ Chí Minh",VanBan
