:START_ID,:END_ID,:TYPE
213/KH-BGDĐT,Phạm Ngọc Thưởng,KY_BOI
213/KH-BGDĐT,Chỉthịsố04/CT-TTg,CAN_CU
213/KH-BGDĐT,213/KH-BGDĐT-Muc_I,CO_MUC
213/KH-BGDĐT,213/KH-BGDĐT-Muc_II,CO_MUC
213/KH-BGDĐT,213/KH-BGDĐT-Muc_III,CO_MUC
213/KH-BGDĐT-Muc_III,213/KH-BGDĐT-Muc_III-NV_1.,GIAO_NHIEM_VU
Vụ GDTH,213/KH-BGDĐT-Muc_III-NV_1.,CHU_TRI
Cục CNTT,213/KH-BGDĐT-Muc_III-NV_1.,PHOI_HOP
Vụ PC,213/KH-BGDĐT-Muc_III-NV_1.,PHOI_HOP
Vụ KHTC,213/KH-BGDĐT-Muc_III-NV_1.,PHOI_HOP
213/KH-BGDĐT-Muc_III,213/KH-BGDĐT-Muc_III-NV_2.,GIAO_NHIEM_VU
Vụ GDTH,213/KH-BGDĐT-Muc_III-NV_2.,CHU_TRI
Cục CNTT,213/KH-BGDĐT-Muc_III-NV_2.,PHOI_HOP
Các Sở GDĐT và các đơn vị cung cấp dịch vụ,213/KH-BGDĐT-Muc_III-NV_2.,PHOI_HOP
213/KH-BGDĐT-Muc_III,213/KH-BGDĐT-Muc_III-NV_3.,GIAO_NHIEM_VU
Sở GDĐT,213/KH-BGDĐT-Muc_III-NV_3.,CHU_TRI
Vụ GDTH,213/KH-BGDĐT-Muc_III-NV_3.,PHOI_HOP
Cục CNTT và các đơn vị cung cấp dịch vụ,213/KH-BGDĐT-Muc_III-NV_3.,PHOI_HOP
213/KH-BGDĐT-Muc_III,213/KH-BGDĐT-Muc_III-NV_4.,GIAO_NHIEM_VU
Sở GDĐT,213/KH-BGDĐT-Muc_III-NV_4.,CHU_TRI
Vụ GDTH,213/KH-BGDĐT-Muc_III-NV_4.,PHOI_HOP
Cục CNTT và các đơn vị,213/KH-BGDĐT-Muc_III-NV_4.,PHOI_HOP
213/KH-BGDĐT-Muc_III,213/KH-BGDĐT-Muc_III-NV_5.,GIAO_NHIEM_VU
Vụ GDTH,213/KH-BGDĐT-Muc_III-NV_5.,CHU_TRI
Cục CNTT và các đơn vị cung cấp dịch vụ,213/KH-BGDĐT-Muc_III-NV_5.,PHOI_HOP
213/KH-BGDĐT-Muc_III,213/KH-BGDĐT-Muc_III-NV_6.,GIAO_NHIEM_VU
Vụ GDTH,213/KH-BGDĐT-Muc_III-NV_6.,CHU_TRI
Cục CNTT và các đơn vị cung cấp dịch vụ,213/KH-BGDĐT-Muc_III-NV_6.,PHOI_HOP
213/KH-BGDĐT,213/KH-BGDĐT-Phu_luc,KEM_THEO
