coquanId:ID,ten,:LABEL
BỘ GIÁO DỤC VÀ ĐÀO TẠO,BỘ GIÁO DỤC VÀ ĐÀO TẠO,CoQuanToChuc
Vụ GDTrH,Vụ GDTrH,CoQuanToChuc
Vụ GDTX,Vụ GDTX,CoQuanToChuc
Cục CNTT,Cục CNTT,CoQuanToChuc
Vụ PC,Vụ PC,CoQuanToChuc
Vụ KHTC,Vụ KHTC,CoQuanToChuc
Vụ KHTC Các Sở GDĐT,Vụ KHTC Các Sở GDĐT,CoQuanToChuc
đơn vị cung cấp dịch vụ,đơn vị cung cấp dịch vụ,CoQuanToChuc
Sở GDĐT,Sở GDĐT,CoQuanToChuc
Vụ KHTC và các đơn vị cung cấp dịch vụ,Vụ KHTC và các đơn vị cung cấp dịch vụ,CoQuanToChuc
Vụ Giáo dục Trung học,Vụ Giáo dục Trung học,CoQuanToChuc
Cục Công nghệ thông tin,Cục Công nghệ thông tin,CoQuanToChuc
Vụ Kế hoạch - Tài chính,Vụ Kế hoạch - Tài chính,CoQuanToChuc
Các Sở Giáo dục và Đào tạo,Các Sở Giáo dục và Đào tạo,CoQuanToChuc
