:START_ID,:END_ID,:TYPE
BỘ GIÁO DỤC VÀ ĐÀO TẠO,2904/QĐ-BGDĐT,BAN_HANH
2904/QĐ-BGDĐT,Thông tư số 27/2020/TT-BGDĐT,DINH_CHINH_CHO
2904/QĐ-BGDĐT,80/2015/QH13,CAN_CU
2904/QĐ-BGDĐT,34/2016/NĐ-CP,CAN_CU
2904/QĐ-BGDĐT,30/2020/NĐ-CP,CAN_CU
2904/QĐ-BGDĐT,69/2017/NĐ-CP,CAN_CU
2904/QĐ-BGDĐT,2904/QĐ-BGDĐT-Điều_1,BAO_GOM
2904/QĐ-BGDĐT,2904/QĐ-BGDĐT-Điều_2,BAO_GOM
2904/QĐ-BGDĐT,2904/QĐ-BGDĐT-Điều_3,BAO_GOM
2904/QĐ-BGDĐT-Điều_1,2904/QĐ-BGDĐT-Điều_1-muc_1,CHI_TIET_DINH_CHINH
2904/QĐ-BGDĐT-Điều_1,2904/QĐ-BGDĐT-Điều_1-muc_2,CHI_TIET_DINH_CHINH
2904/QĐ-BGDĐT-Điều_1,2904/QĐ-BGDĐT-Điều_1-muc_3,CHI_TIET_DINH_CHINH
2904/QĐ-BGDĐT-Điều_1,2904/QĐ-BGDĐT-Điều_1-muc_4,CHI_TIET_DINH_CHINH
