:START_ID,:END_ID,:TYPE
SỞ GIÁO DỤC VÀ ĐÀO TẠO THÀNH PHỐ HỒ CHÍ MINH,1789/QĐ-SGDĐT,BAN_HANH
1789/QĐ-SGDĐT,Nguyễn Văn Hiếu,KY_BOI
1789/QĐ-SGDĐT,Luật giao dịch điện tử 2023,CAN_CU
1789/QĐ-SGDĐT,130/2018/NĐ-CP,CAN_CU
1789/QĐ-SGDĐT,04/CT-TTg,CAN_CU
1789/QĐ-SGDĐT,27/2016/TT-BGDĐT,CAN_CU
1789/QĐ-SGDĐT,26/2019/TT-BGDĐT,CAN_CU
1789/QĐ-SGDĐT,28/2020/TT-BGDĐT,CAN_CU
1789/QĐ-SGDĐT,27/2020/TT-BGDĐT,CAN_CU
1789/QĐ-SGDĐT,32/2020/TT-BGDĐT,CAN_CU
1789/QĐ-SGDĐT,10/2021/TT-BGDĐT,CAN_CU
1789/QĐ-SGDĐT,22/2021/TT-BGDĐT,CAN_CU
1789/QĐ-SGDĐT,05/2023/TT-BGDĐT,CAN_CU
1789/QĐ-SGDĐT,23/VBHN-BGDĐT,CAN_CU
1789/QĐ-SGDĐT,3666/QĐ-BGDĐT,CAN_CU
1789/QĐ-SGDĐT,213/KH-BGDĐT,CAN_CU
1789/QĐ-SGDĐT,2088/BGDĐT-GDTH,CAN_CU
1789/QĐ-SGDĐT,3760/QĐ-UBND,CAN_CU
1789/QĐ-SGDĐT,328/QĐ-UBND,CAN_CU
1789/QĐ-SGDĐT,34/2023/QĐ-UBND,CAN_CU
1789/QĐ-SGDĐT,1230/QĐ-SGDĐT,CAN_CU
1789/QĐ-SGDĐT,1789/QĐ-SGDĐT-QD-Điều_1,BAO_GOM_DIEU
1789/QĐ-SGDĐT,1789/QĐ-SGDĐT-QD-Điều_2,BAO_GOM_DIEU
1789/QĐ-SGDĐT,1789/QĐ-SGDĐT-QD-Điều_3,BAO_GOM_DIEU
1789/QĐ-SGDĐT,QC-1789/QĐ-SGDĐT,BAN_HANH_KEM
QC-1789/QĐ-SGDĐT,QC-1789/QĐ-SGDĐT-Chương_I,BAO_GOM_CHUONG
QC-1789/QĐ-SGDĐT-Chương_I,QC-1789/QĐ-SGDĐT-Chương_I-Điều_1,BAO_GOM_DIEU
QC-1789/QĐ-SGDĐT-Chương_I,QC-1789/QĐ-SGDĐT-Chương_I-Điều_2,BAO_GOM_DIEU
QC-1789/QĐ-SGDĐT-Chương_I,QC-1789/QĐ-SGDĐT-Chương_I-Điều_3,BAO_GOM_DIEU
QC-1789/QĐ-SGDĐT-Chương_I,QC-1789/QĐ-SGDĐT-Chương_I-Điều_4,BAO_GOM_DIEU
