dieuId:ID,soDieu,noiDung,:LABEL,tenDieu
27/2020/TT-BGDĐT-TT-Điều_1,Điều 1,Ban hành kèm theo Thông tư này Quy định đánh giá học sinh tiểu học.,Dieu,
27/2020/TT-BGDĐT-TT-Điều_2,Điều 2,"Quy định đánh giá học sinh tiểu học được thực hiện theo lộ trình như sau:
1. Từ năm học 2020-2021 đối với lớp 1.
2. Từ năm học 2021-2022 đối với lớp 2.
3. Từ năm học 2022-2023 đối với lớp 3.
4. Từ năm học 2023-2024 đối với lớp 4.
5. Từ năm học 2024-2025 đối với lớp 5.",Dieu,
27/2020/TT-BGDĐT-TT-Điều_3,Điều 3,"Thông tư này có hiệu lực thi hành kể từ ngày 20 tháng 10 năm 2020 và thay thế Thông tư số 30/2014/TT-BGDĐT ngày 28 tháng 8 năm 2014 của Bộ trưởng Bộ Giáo dục và Đào tạo về việc ban hành Quy định đánh giá học sinh tiểu học và Thông tư số 22/2016/TT-BGDĐT ngày 22 tháng 9 năm 2016 của Bộ trưởng Bộ Giáo dục và Đào tạo về việc sửa đổi, bổ sung một số điều của quy định đánh giá học sinh tiểu học ban hành kèm theo Thông tư số 30/2014/TT-BGDĐT ngày 28 tháng 8 năm 2014 của Bộ trưởng Bộ Giáo dục và Đào tạo.
Quy định đánh giá học sinh tiểu học ban hành kèm theo Thông tư số 30/2014/TT-BGDĐT ngày 28 tháng 8 năm 2014 của Bộ trưởng Bộ Giáo dục và Đào tạo và các quy định tại Thông tư số 22/2016/TT-BGDĐT ngày 22 tháng 9 năm 2016 của Bộ trưởng Bộ Giáo dục và Đào tạo về việc sửa đổi, bổ sung một số điều của quy định đánh giá học sinh tiểu học ban hành kèm theo Thông tư số 30/2014/TT-BGDĐT ngày 28 tháng 8 năm 2014 của Bộ trưởng Bộ Giáo dục và Đào tạo được áp dụng cho đến khi các quy định tại Điều 2 của Thông tư này được thực hiện.",Dieu,
27/2020/TT-BGDĐT-TT-Điều_4,Điều 4,"Chánh Văn phòng, Vụ trưởng Vụ Giáo dục Tiểu học, Thủ trưởng các đơn vị có liên quan thuộc Bộ Giáo dục và Đào tạo, Chủ tịch Ủy ban nhân dân các tỉnh, thành phố trực thuộc Trung ương, Giám đốc Sở Giáo dục và Đào tạo chịu trách nhiệm thi hành Thông tư này.",Dieu,
QD-27/2020/TT-BGDĐT-Chương_I-Điều_2,Điều 2,"1. Đánh giá học sinh tiểu học là quá trình thu thập, xử lý thông tin thông qua các hoạt động quan sát, theo dõi, trao đổi, kiểm tra, nhận xét quá trình học tập, rèn luyện của học sinh; tư vấn, hướng dẫn, động viên học sinh; diễn giải thông tin định tính hoặc định lượng về kết quả học tập, rèn luyện, sự hình thành và phát triển một số phẩm chất, năng lực của học sinh tiểu học.
2. Đánh giá thường xuyên là hoạt động đánh giá diễn ra trong tiến trình thực hiện hoạt động dạy học theo yêu cầu cần đạt và biểu hiện cụ thể về các thành phần năng lực của từng môn học, hoạt động giáo dục và một số biểu hiện phẩm chất, năng lực của học sinh. Đánh giá thường xuyên cung cấp thông tin phản hồi cho giáo viên và học sinh, để kịp thời điều chỉnh quá trình dạy học, hỗ trợ, thúc đẩy sự tiến bộ của học sinh theo mục tiêu giáo dục tiểu học.
3. Đánh giá định kỳ là đánh giá kết quả giáo dục học sinh sau một giai đoạn học tập, rèn luyện, nhằm xác định mức độ hoàn thành nhiệm vụ học tập, rèn luyện của học sinh theo yêu cầu cần đạt và biểu hiện cụ thể về các thành phần năng lực của từng môn học, hoạt động giáo dục được quy định trong chương trình giáo dục phổ thông cấp tiểu học và sự hình thành, phát triển phẩm chất, năng lực học sinh.
4. Tổng hợp đánh giá kết quả giáo dục là việc tổng hợp và ghi kết quả đánh giá giáo dục của học sinh vào Bảng tổng hợp kết quả đánh giá giáo dục của lớp và Học bạ vào các thời điểm theo quy định.",Dieu,Giải thích từ ngữ
QD-27/2020/TT-BGDĐT-Chương_I-Điều_3,Điều 3,"Mục đích đánh giá là cung cấp thông tin chính xác, kịp thời, xác định được thành tích học tập, rèn luyện theo mức độ đáp ứng yêu cầu cần đạt của chương trình giáo dục phổ thông cấp tiểu học và sự tiến bộ của học sinh để hướng dẫn hoạt động học tập, điều chỉnh các hoạt động dạy học nhằm nâng cao chất lượng giáo dục, cụ thể như sau:
1. Giúp giáo viên điều chỉnh, đổi mới hình thức tổ chức, phương pháp giáo dục trong quá trình dạy học, giáo dục; kịp thời phát hiện những cố gắng, tiến bộ của học sinh nhằm động viên, khích lệ và phát hiện những khó khăn chưa thể tự vượt qua của học sinh để hướng dẫn, giúp đỡ nhằm nâng cao chất lượng, hiệu quả hoạt động học tập, rèn luyện của học sinh; góp phần thực hiện mục tiêu giáo dục tiểu học.
2. Giúp học sinh có khả năng tự nhận xét, tham gia nhận xét; tự học, tự điều chỉnh cách học; giao tiếp, hợp tác; có hứng thú học tập và rèn luyện để tiến bộ.
3. Giúp cha mẹ học sinh hoặc người giám hộ (sau đây gọi chung là cha mẹ học sinh) tham gia đánh giá quá trình và kết quả học tập, rèn luyện, quá trình hình thành và phát triển phẩm chất, năng lực của học sinh; tích cực hợp tác với nhà trường trong các hoạt động giáo dục học sinh.
4. Giúp cán bộ quản lý giáo dục các cấp kịp thời chỉ đạo các hoạt động giáo dục, đổi mới phương pháp dạy học, phương pháp đánh giá nhằm đạt hiệu quả giáo dục.
5. Giúp các tổ chức xã hội nắm thông tin chính xác, khách quan, phát huy nguồn lực xã hội tham gia đầu tư phát triển giáo dục.",Dieu,Mục đích đánh giá
QD-27/2020/TT-BGDĐT-Chương_I-Điều_4,Điều 4,"1. Đánh giá học sinh thông qua đánh giá mức độ đáp ứng yêu cầu cần đạt và biểu hiện cụ thể về các thành phần năng lực của từng môn học, hoạt động giáo dục và những biểu hiện phẩm chất, năng lực của học sinh theo yêu cầu của chương trình giáo dục phổ thông cấp tiểu học.
2. Đánh giá thường xuyên bằng nhận xét, đánh giá định kỳ bằng điểm số kết hợp với nhận xét; kết hợp đánh giá của giáo viên, học sinh, cha mẹ học sinh, trong đó đánh giá của giáo viên là quan trọng nhất.
3. Đánh giá sự tiến bộ và vì sự tiến bộ của học sinh; coi trọng việc động viên, khuyến khích sự cố gắng trong học tập, rèn luyện của học sinh; giúp học sinh phát huy nhiều nhất khả năng, năng lực; đảm bảo kịp thời, công bằng, khách quan; không so sánh học sinh này với học sinh khác, không tạo áp lực cho học sinh, giáo viên và cha mẹ học sinh.",Dieu,Yêu cầu đánh giá
QD-27/2020/TT-BGDĐT-Chương_II-Điều_6,Điều 6,"1. Đánh giá thường xuyên về nội dung học tập các môn học, hoạt động giáo dục
a) Giáo viên sử dụng linh hoạt, phù hợp các phương pháp đánh giá, nhưng chủ yếu thông qua lời nói chỉ ra cho học sinh biết được chỗ đúng, chưa đúng và cách sửa chữa; viết nhận xét vào vở hoặc sản phẩm học tập của học sinh khi cần thiết, có biện pháp cụ thể giúp đỡ kịp thời.
b) Học sinh tự nhận xét và tham gia nhận xét sản phẩm học tập của bạn, nhóm bạn trong quá trình thực hiện các nhiệm vụ học tập để học và làm tốt hơn.
c) Cha mẹ học sinh trao đổi với giáo viên về các nhận xét, đánh giá học sinh bằng các hình thức phù hợp và phối hợp với giáo viên động viên, giúp đỡ học sinh học tập, rèn luyện.
2. Đánh giá thường xuyên về sự hình thành và phát triển phẩm chất, năng lực
a) Giáo viên sử dụng linh hoạt, phù hợp các phương pháp đánh giá; căn cứ vào những biểu hiện về nhận thức, hành vi, thái độ của học sinh; đối chiếu với yêu cầu cần đạt của từng phẩm chất chủ yếu, năng lực cốt lõi theo Chương trình giáo dục phổ thông cấp tiểu học để nhận xét và có biện pháp giúp đỡ kịp thời.
b) Học sinh được tự nhận xét và được tham gia nhận xét bạn, nhóm bạn về những biểu hiện của từng phẩm chất chủ yếu, năng lực cốt lõi để hoàn thiện bản thân.
c) Cha mẹ học sinh trao đổi, phối hợp với giáo viên động viên, giúp đỡ học sinh rèn luyện và phát triển từng phẩm chất chủ yếu, năng lực cốt lõi.",Dieu,Đánh giá thường xuyên
QD-27/2020/TT-BGDĐT-Chương_II-Điều_7,Điều 7,"1. Đánh giá định kỳ về nội dung học tập các môn học, hoạt động giáo dục
a) Vào giữa học kỳ I, cuối học kỳ I, giữa học kỳ II và cuối năm học, giáo viên dạy môn học căn cứ vào quá trình đánh giá thường xuyên và yêu cầu cần đạt, biểu hiện cụ thể về các thành phần năng lực của từng môn học, hoạt động giáo dục để đánh giá học sinh đối với từng môn học, hoạt động giáo dục theo các mức sau:
- Hoàn thành tốt: thực hiện tốt các yêu cầu học tập và thường xuyên có biểu hiện cụ thể về các thành phần năng lực của môn học hoặc hoạt động giáo dục;
- Hoàn thành: thực hiện được các yêu cầu học tập và có biểu hiện cụ thể về các thành phần năng lực của môn học hoặc hoạt động giáo dục;
- Chưa hoàn thành: chưa thực hiện được một số yêu cầu học tập hoặc chưa có biểu hiện cụ thể về các thành phần năng lực của môn học hoặc hoạt động giáo dục.
b) Vào cuối học kỳ I và cuối năm học, đối với các môn học bắt buộc: Tiếng Việt, Toán, Ngoại ngữ 1, Lịch sử và Địa lý, Khoa học, Tin học và Công nghệ có bài kiểm tra định kỳ;
Đối với lớp 4, lớp 5, có thêm bài kiểm tra định kỳ môn Tiếng Việt, môn Toán vào giữa học kỳ I và giữa học kỳ II.
c) Đề kiểm tra định kỳ phù hợp với yêu cầu cần đạt và các biểu hiện cụ thể về các thành phần năng lực của môn học, gồm các câu hỏi, bài tập được thiết kế theo các mức như sau:
- Mức 1: Nhận biết, nhắc lại hoặc mô tả được nội dung đã học và áp dụng trực tiếp để giải quyết một số tình huống, vấn đề quen thuộc trong học tập;
- Mức 2: Kết nối, sắp xếp được một số nội dung đã học để giải quyết vấn đề có nội dung tương tự;
- Mức 3: Vận dụng các nội dung đã học để giải quyết một số vấn đề mới hoặc đưa ra những phản hồi hợp lý trong học tập và cuộc sống.
d) Bài kiểm tra được giáo viên sửa lỗi, nhận xét, cho điểm theo thang điểm 10, không cho điểm thập phân và được trả lại cho học sinh. Điểm của bài kiểm tra định kỳ không dùng để so sánh học sinh này với học sinh khác. Nếu kết quả bài kiểm tra cuối học kỳ I và cuối năm học bất thường so với đánh giá thường xuyên, giáo viên đề xuất với nhà trường có thể cho học sinh làm bài kiểm tra khác để đánh giá đúng kết quả học tập của học sinh.
2. Đánh giá định kỳ về sự hình thành và phát triển phẩm chất, năng lực
Vào giữa học kỳ I, cuối học kỳ I, giữa học kỳ II và cuối năm học, giáo viên chủ nhiệm phối hợp với các giáo viên dạy cùng lớp, thông qua các nhận xét, các biểu hiện trong quá trình đánh giá thường xuyên về sự hình thành và phát triển từng phẩm chất chủ yếu, năng lực cốt lõi của mỗi học sinh, đánh giá theo các mức sau:
a) Tốt: Đáp ứng tốt yêu cầu giáo dục, biểu hiện rõ và thường xuyên.
b) Đạt: Đáp ứng được yêu cầu giáo dục, biểu hiện nhưng chưa thường xuyên.
c) Cần cố gắng: Chưa đáp ứng được đầy đủ yêu cầu giáo dục, biểu hiện chưa rõ.",Dieu,Đánh giá định kỳ
QD-27/2020/TT-BGDĐT-Chương_II-Điều_8,Điều 8,"1. Học sinh khuyết tật học theo phương thức giáo dục hòa nhập tùy theo dạng khuyết tật và mức độ khuyết tật, được đánh giá như đối với học sinh không khuyết tật, có điều chỉnh yêu cầu cho phù hợp với dạng khuyết tật và mức độ khuyết tật hoặc theo yêu cầu của kế hoạch giáo dục cá nhân.
2. Học sinh khuyết tật học theo phương thức giáo dục chuyên biệt được đánh giá theo quy định dành cho giáo dục chuyên biệt hoặc theo yêu cầu của kế hoạch giáo dục cá nhân.
3. Đối với học sinh học ở các lớp dành cho người khuyết tật: giáo viên đánh giá học sinh căn cứ vào nhận xét, đánh giá thường xuyên qua các buổi học tại lớp dành cho người khuyết tật và kết quả đánh giá định kỳ môn Toán, môn Tiếng Việt được thực hiện theo quy định tại Điều 7 của Quy định này.",Dieu,"Đánh giá học sinh ở trường, lớp dành cho người khuyết tật"
