khoanId:ID,soKhoan,noiDung,:LABEL
QD-27/2020/TT-BGDĐT-Chương_I-Điều_2-Khoan_2,2,"2. Đánh giá thường xuyên là hoạt động đánh giá diễn ra trong tiến trình thực hiện hoạt động dạy học theo yêu cầu cần đạt và biểu hiện cụ thể về các thành phần năng lực của từng môn học, hoạt động giáo dục và một số biểu hiện phẩm chất, năng lực của học sinh. Đánh giá thường xuyên cung cấp thông tin phản hồi cho giáo viên và học sinh, để kịp thời điều chỉnh quá trình dạy học, hỗ trợ, thúc đẩy sự tiến bộ của học sinh theo mục tiêu giáo dục tiểu học.3. Đánh giá định kỳ là đánh giá kết quả giáo dục học sinh sau một giai đoạn học tập, rèn luyện, nhằm xác định mức độ hoàn thành nhiệm vụ học tập, rèn luyện của học sinh theo yêu cầu cần đạt và biểu hiện cụ thể về các thành phần năng lực của từng môn học, hoạt động giáo dục được quy định trong chương trình giáo dục phổ thông cấp tiểu học và sự hình thành, phát triển phẩm chất, năng lực học sinh.
4. Tổng hợp đánh giá kết quả giáo dục là việc tổng hợp và ghi kết quả đánh giá giáo dục của học sinh vào Bảng tổng hợp kết quả đánh giá giáo dục của lớp và Học bạ vào các thời điểm theo quy định.",Khoan
QD-27/2020/TT-BGDĐT-Chương_I-Điều_3-Khoan_1,1,"1. Giúp giáo viên điều chỉnh, đổi mới hình thức tổ chức, phương pháp giáo dục trong quá trình dạy học, giáo dục; kịp thời phát hiện những cố gắng, tiến bộ của học sinh nhằm động viên, khích lệ và phát hiện những khó khăn chưa thể tự vượt qua của học sinh để hướng dẫn, giúp đỡ nhằm nâng cao chất lượng, hiệu quả hoạt động học tập, rèn luyện của học sinh; góp phần thực hiện mục tiêu giáo dục tiểu học.2. Giúp học sinh có khả năng tự nhận xét, tham gia nhận xét; tự học, tự điều chỉnh cách học; giao tiếp, hợp tác; có hứng thú học tập và rèn luyện để tiến bộ.",Khoan
QD-27/2020/TT-BGDĐT-Chương_I-Điều_3-Khoan_3,3,"3. Giúp cha mẹ học sinh hoặc người giám hộ (sau đây gọi chung là cha mẹ học sinh) tham gia đánh giá quá trình và kết quả học tập, rèn luyện, quá trình hình thành và phát triển phẩm chất, năng lực của học sinh; tích cực hợp tác với nhà trường trong các hoạt động giáo dục học sinh.4. Giúp cán bộ quản lý giáo dục các cấp kịp thời chỉ đạo các hoạt động giáo dục, đổi mới phương pháp dạy học, phương pháp đánh giá nhằm đạt hiệu quả giáo dục.
5. Giúp các tổ chức xã hội nắm thông tin chính xác, khách quan, phát huy nguồn lực xã hội tham gia đầu tư phát triển giáo dục.",Khoan
QD-27/2020/TT-BGDĐT-Chương_I-Điều_4-Khoan_2,2,"2. Đánh giá thường xuyên bằng nhận xét, đánh giá định kỳ bằng điểm số kết hợp với nhận xét; kết hợp đánh giá của giáo viên, học sinh, cha mẹ học sinh, trong đó đánh giá của giáo viên là quan trọng nhất.3. Đánh giá sự tiến bộ và vì sự tiến bộ của học sinh; coi trọng việc động viên, khuyến khích sự cố gắng trong học tập, rèn luyện của học sinh; giúp học sinh phát huy nhiều nhất khả năng, năng lực; đảm bảo kịp thời, công bằng, khách quan; không so sánh học sinh này với học sinh khác, không tạo áp lực cho học sinh, giáo viên và cha mẹ học sinh.",Khoan
QD-27/2020/TT-BGDĐT-Chương_II-Điều_6-Khoan_2,2,"2. Đánh giá thường xuyên về sự hình thành và phát triển phẩm chất, năng lựca) Giáo viên sử dụng linh hoạt, phù hợp các phương pháp đánh giá; căn cứ vào những biểu hiện về nhận thức, hành vi, thái độ của học sinh; đối chiếu với yêu cầu cần đạt của từng phẩm chất chủ yếu, năng lực cốt lõi theo Chương trình giáo dục phổ thông cấp tiểu học để nhận xét và có biện pháp giúp đỡ kịp thời.
b) Học sinh được tự nhận xét và được tham gia nhận xét bạn, nhóm bạn về những biểu hiện của từng phẩm chất chủ yếu, năng lực cốt lõi để hoàn thiện bản thân.
c) Cha mẹ học sinh trao đổi, phối hợp với giáo viên động viên, giúp đỡ học sinh rèn luyện và phát triển từng phẩm chất chủ yếu, năng lực cốt lõi.",Khoan
QD-27/2020/TT-BGDĐT-Chương_II-Điều_7-Khoan_2,2,"2. Đánh giá định kỳ về sự hình thành và phát triển phẩm chất, năng lựcVào giữa học kỳ I, cuối học kỳ I, giữa học kỳ II và cuối năm học, giáo viên chủ nhiệm phối hợp với các giáo viên dạy cùng lớp, thông qua các nhận xét, các biểu hiện trong quá trình đánh giá thường xuyên về sự hình thành và phát triển từng phẩm chất chủ yếu, năng lực cốt lõi của mỗi học sinh, đánh giá theo các mức sau:
a) Tốt: Đáp ứng tốt yêu cầu giáo dục, biểu hiện rõ và thường xuyên.
b) Đạt: Đáp ứng được yêu cầu giáo dục, biểu hiện nhưng chưa thường xuyên.
c) Cần cố gắng: Chưa đáp ứng được đầy đủ yêu cầu giáo dục, biểu hiện chưa rõ.",Khoan
QD-27/2020/TT-BGDĐT-Chương_II-Điều_8-Khoan_2,2,"2. Học sinh khuyết tật học theo phương thức giáo dục chuyên biệt được đánh giá theo quy định dành cho giáo dục chuyên biệt hoặc theo yêu cầu của kế hoạch giáo dục cá nhân.3. Đối với học sinh học ở các lớp dành cho người khuyết tật: giáo viên đánh giá học sinh căn cứ vào nhận xét, đánh giá thường xuyên qua các buổi học tại lớp dành cho người khuyết tật và kết quả đánh giá định kỳ môn Toán, môn Tiếng Việt được thực hiện theo quy định tại Điều 7 của Quy định này.",Khoan
QD-27/2020/TT-BGDĐT-Chương_II-Điều_9-Khoan_2,2,"2. Cuối năm học, căn cứ vào quá trình tổng hợp kết quả đánh giá về học tập từng môn học, hoạt động giáo dục và từng phẩm chất chủ yếu, năng lực cốt lõi, giáo viên chủ nhiệm thực hiện:a) Đánh giá kết quả giáo dục học sinh theo bốn mức:
- Hoàn thành xuất sắc: Những học sinh có kết quả đánh giá các môn học, hoạt động giáo dục đạt mức Hoàn thành tốt; các phẩm chất, năng lực đạt mức Tốt; bài kiểm tra định kỳ cuối năm học của các môn học đạt 9 điểm trở lên;
- Hoàn thành tốt: Những học sinh chưa đạt mức Hoàn thành xuất sắc, nhưng có kết quả đánh giá các môn học, hoạt động giáo dục đạt mức Hoàn thành tốt; các phẩm chất, năng lực đạt mức Tốt; bài kiểm tra định kỳ cuối năm học các môn học đạt 7 điểm trở lên;
- Hoàn thành: Những học sinh chưa đạt mức Hoàn thành xuất sắc và Hoàn thành tốt, nhưng có kết quả đánh giá các môn học, hoạt động giáo dục đạt mức Hoàn thành tốt hoặc Hoàn thành; các phẩm chất, năng lực đạt mức Tốt hoặc Đạt; bài kiểm tra định kỳ cuối năm học các môn học đạt 5 điểm trở lên;
- Chưa hoàn thành: Những học sinh không thuộc các đối tượng trên.
b) Ghi nhận xét, kết quả tổng hợp đánh giá giáo dục và các thành tích của học sinh được khen thưởng trong năm học vào Học bạ.",Khoan
QD-27/2020/TT-BGDĐT-Chương_II-Điều_10-Khoan_2,2,"2. Hồ sơ đánh giá từng năm học của mỗi học sinh gồm Học bạ (theo Phụ lục 1 được đính kèm) và Bảng tổng hợp kết quả đánh giá giáo dục của lớp (theo Phụ lục 2 được đính kèm).a) Bảng tổng hợp kết quả đánh giá giáo dục của các lớp được lưu trữ tại nhà trường theo quy định.
b) Học bạ được nhà trường lưu trữ trong suốt thời gian học sinh học tại trường, được giao cho học sinh khi hoàn thành chương trình tiểu học hoặc chuyển trường.",Khoan
QD-27/2020/TT-BGDĐT-Chương_III-Điều_12-Khoan_2,2,"2. Hiệu trưởng chỉ đạo nghiệm thu, bàn giao kết quả giáo dục học sinh:a) Đối với học sinh lớp 1, lớp 2, lớp 3, lớp 4: giáo viên chủ nhiệm trao đổi với giáo viên sẽ nhận học sinh vào năm học tiếp theo về những nét nổi bật hoặc hạn chế của học sinh, bàn giao hồ sơ đánh giá học sinh theo quy định tại khoản 2 Điều 10 của Quy định này.
b) Đối với học sinh lớp 5: tổ chức coi, chấm bài kiểm tra có sự tham gia của giáo viên trường trung học cơ sở trên cùng địa bàn; giáo viên chủ nhiệm hoàn thiện hồ sơ đánh giá học sinh, bàn giao cho nhà trường.
c) Các tổ chuyên môn ra đề kiểm tra định kỳ cho các khối lớp.
3. Trưởng Phòng Giáo dục và Đào tạo chỉ đạo các nhà trường trên cùng địa bàn tổ chức nghiệm thu, bàn giao kết quả giáo dục học sinh hoàn thành chương trình tiểu học lên lớp 6 phù hợp với điều kiện của các nhà trường và địa phương.",Khoan
