:START_ID,:END_ID,:TYPE
27/2020/TT-BGDĐT,Luật Giáo dục 2019,CAN_CU
27/2020/TT-BGDĐT,88/2014/QH13,CAN_CU
27/2020/TT-BGDĐT,69/2017/NĐ-CP,CAN_CU
27/2020/TT-BGDĐT,27/2020/TT-BGDĐT-TT-Điều_1,BAO_GOM_DIEU
27/2020/TT-BGDĐT,27/2020/TT-BGDĐT-TT-Điều_2,BAO_GOM_DIEU
27/2020/TT-BGDĐT,27/2020/TT-BGDĐT-TT-Điều_3,BAO_GOM_DIEU
27/2020/TT-BGDĐT,30/2014/TT-BGDĐT,THAY_THE
27/2020/TT-BGDĐT,22/2016/TT-BGDĐT,THAY_THE
27/2020/TT-BGDĐT,27/2020/TT-BGDĐT-TT-Điều_4,BAO_GOM_DIEU
27/2020/TT-BGDĐT,QD-27/2020/TT-BGDĐT,BAN_HANH_KEM
QD-27/2020/TT-BGDĐT,QD-27/2020/TT-BGDĐT-Chương_I,BAO_GOM_CHUONG
QD-27/2020/TT-BGDĐT-Chương_I,QD-27/2020/TT-BGDĐT-Chương_I-Điều_2,BAO_GOM_DIEU
QD-27/2020/TT-BGDĐT-Chương_I-Điều_2,QD-27/2020/TT-BGDĐT-Chương_I-Điều_2-Khoan_2,CHUA_KHOAN
QD-27/2020/TT-BGDĐT-Chương_I,QD-27/2020/TT-BGDĐT-Chương_I-Điều_3,BAO_GOM_DIEU
QD-27/2020/TT-BGDĐT-Chương_I-Điều_3,QD-27/2020/TT-BGDĐT-Chương_I-Điều_3-Khoan_1,CHUA_KHOAN
QD-27/2020/TT-BGDĐT-Chương_I-Điều_3,QD-27/2020/TT-BGDĐT-Chương_I-Điều_3-Khoan_3,CHUA_KHOAN
QD-27/2020/TT-BGDĐT-Chương_I,QD-27/2020/TT-BGDĐT-Chương_I-Điều_4,BAO_GOM_DIEU
QD-27/2020/TT-BGDĐT-Chương_I-Điều_4,QD-27/2020/TT-BGDĐT-Chương_I-Điều_4-Khoan_2,CHUA_KHOAN
QD-27/2020/TT-BGDĐT,QD-27/2020/TT-BGDĐT-Chương_II,BAO_GOM_CHUONG
QD-27/2020/TT-BGDĐT-Chương_II,QD-27/2020/TT-BGDĐT-Chương_II-Điều_6,BAO_GOM_DIEU
QD-27/2020/TT-BGDĐT-Chương_II-Điều_6,QD-27/2020/TT-BGDĐT-Chương_II-Điều_6-Khoan_2,CHUA_KHOAN
QD-27/2020/TT-BGDĐT-Chương_II-Điều_6-Khoan_2,QD-27/2020/TT-BGDĐT-Chương_II-Điều_6-Khoan_2-Diem_b,CHUA_DIEM
